Station,County
Denver Airport Station,Denver
61st/Pena Station Track 2,Denver
40th Ave/Airport Blvd - Gateway Park Station Track 2,Adams
Peoria Station Track 2,Adams
Central Park Station Track 2,Denver
40th/Colorado Station Track 2,Denver
Union Station Track 1,Denver
38th/Blake Station Track 1,Denver
40th/Colorado Station Track 1,Denver
Central Park Station Track 1,Denver
Peoria Station Track 1,Adams
40th Ave/Airport Blvd - Gateway Park Station Track 1,Adams
Iliff Station,Arapahoe
Florida Station,Arapahoe
Fitzsimons Station,Adams
Colfax Station,Adams
13th Ave Station,Arapahoe
2nd & Abilene Station,Arapahoe
Aurora Metro Center Station,Arapahoe
Westminster Station S-Bound,Adams
Union Station Track 8,Denver
38th/Blake Station Track 2,Denver
61st/Pena Station Track 1,Denver
41st & Fox Station Track 2,Denver
Wheat Ridge - Ward Station Track 2,Jefferson
Arvada Ridge Station Track 2,Jefferson
Olde Town Arvada E-Bound,Jefferson
60th & Sheridan - Arvada Gold Strike Station Track 2,Adams
Clear Creek - Federal Station Track 2,Adams
Union Station Track 7,Denver
41st & Fox Station Track 1,Denver
Clear Creek - Federal Station Track 1,Adams
60th & Sheridan - Arvada Gold Strike Station Track 1,Adams
Olde Town Arvada W-Bound,Jefferson
Arvada Ridge Station Track 1,Jefferson
Wheat Ridge - Ward Station Track 1,Jefferson
Sky Ridge Station,Arapahoe
Lone Tree City Center Station,Arapahoe
Ridgegate Parkway Station,Arapahoe
16th & Stout Station {Lv},Denver
