STOPNAME,CITY
Nine Mile Station,Aurora
Dry Creek Station  {1406},Centennial
Dry Creek Station {1406},Centennial
Alameda Station,Denver
10th & Osage Station,Denver
Colfax at Auraria Station,Denver
Auraria West Station,Denver
I-25 & Broadway Station,Denver
Theatre District / Convention Center Station,Denver
Empower Field at Mile High Station,Denver
Evans Station,Denver
16th & California Station,Denver
Pepsi Center / Elitch Gardens Station,Denver
18th & California Station,Denver
Southmoor Station,Denver
Union Station Track 11,Denver
Yale Station,Denver
Colorado Station,Denver
University of Denver Station,Denver
Louisiana & Pearl Station,Denver
Union Station Track 12,Denver
18th & Stout Station,Denver
16th & Stout Station,Denver
Theatre District/Convention Ctr Station,Denver
Perry Station,Denver
Belleview Station {1411},Denver
Decatur / Federal Station,Denver
Knox Station,Denver
30th & Downing Station,Denver
27th & Welton Station,Denver
25th & Welton Station,Denver
20th & Welton Station,Denver
Sheridan Station,Denver
Red Rocks Community College Station,East Pleasant View
Englewood Station,Englewood
Oxford - City of Sheridan Station,Englewood
Jeffco Government Center Station {1109},Golden
Dayton Station,Greenwood Village
Orchard Station {1403},Greenwood Village
Arapahoe at Village Center Station  {1403},Greenwood Village
Arapahoe at Village Center Station {1403},Greenwood Village
Sheridan Station,Lakewood
Red Rocks Community College Station,Lakewood
Federal Center Station {1304},Lakewood
Oak Station,Lakewood
Garrison Station,Lakewood
Wadsworth Station,Lakewood
Lamar Station,Lakewood
Littleton / Downtown Station {1303},Littleton
Littleton / Mineral Ave Station {1303},Littleton
County Line Station  {1401},Lone Tree
County Line Station {1401},Lone Tree
Lincoln Station  {1401},Meridian
Lincoln Station {1401},Meridian
Union Station Track 1,Denver
38th/Blake Station Track 1,Denver
61st/Pena Station Track 2,Denver
40th/Colorado Station Track 1,Denver
Central Park Station Track 1,Denver
Central Park Station Track 2,Denver
40th/Colorado Station Track 2,Denver
Denver Airport Station,Denver
Union Station Track 8,Denver
38th/Blake Station Track 2,Denver
61st/Pena Station Track 1,Denver
Union Station Track 7,Denver
41st & Fox Station Track 1,Denver
41st & Fox Station Track 2,Denver
16th & Stout Station {Lv},Denver
Iliff Station,Aurora
Florida Station,Aurora
13th Ave Station,Aurora
2nd & Abilene Station,Aurora
Aurora Metro Center Station,Aurora
Sky Ridge Station,Lone Tree
Lone Tree City Center Station,Lone Tree
Ridgegate Parkway Station,Lone Tree
40th Ave/Airport Blvd - Gateway Park Station Track 2,Aurora
Peoria Station Track 2,Aurora
Peoria Station Track 1,Aurora
40th Ave/Airport Blvd - Gateway Park Station Track 1,Aurora
Fitzsimons Station,Aurora
Colfax Station,Aurora
Westminster Station S-Bound,Westminster
Clear Creek - Federal Station Track 1,Denver
60th & Sheridan - Arvada Gold Strike Station Track 1,Arvada
60th & Sheridan - Arvada Gold Strike Station Track 2,Arvada
Clear Creek - Federal Station Track 2,Denver
Olde Town Arvada W-Bound,Arvada
Arvada Ridge Station Track 1,Arvada
Wheat Ridge - Ward Station Track 1,Wheat Ridge
Wheat Ridge - Ward Station Track 2,Wheat Ridge
Arvada Ridge Station Track 2,Arvada
Olde Town Arvada E-Bound,Arvada
