Location,Address,Resolved Address,Wind Direction,Latitude,Cloud Cover,Minimum Temperature,Date time,Precipitation,Dew Point,Relative Humidity,id,Precipitation Cover,Longitude,Info,Temperature,Maximum Temperature,Visibility,Wind Speed,Heat Index,Weather Type,Snow Depth,Sea Level Pressure,Name,Wind Gust,Wind Chill
Wheat Ridge,"Wheat Ridge, CO, United States","Wheat Ridge, CO, United States",205,,70.2,31,12/01/2018 00:00:00,,23.6,73.92,,,,,31,31,5.5,4,,Mist,,1003.3,,,26.8
Wheat Ridge,"Wheat Ridge, CO, United States","Wheat Ridge, CO, United States",210,,70.2,29.5,12/01/2018 01:00:00,,22.1,73.49,,,,,29.5,29.5,5.5,5.3,,Mist,,1002.5,,,23.9
Wheat Ridge,"Wheat Ridge, CO, United States","Wheat Ridge, CO, United States",210,,40.1,28.6,12/01/2018 02:00:00,,24.5,84.56,,,,,28.6,28.6,7.5,2.3,,Mist,,1002.8,,,
Wheat Ridge,"Wheat Ridge, CO, United States","Wheat Ridge, CO, United States",105,,40.1,25.9,12/01/2018 03:00:00,,18,71.75,,,,,25.9,25.9,8.5,5.7,,,,1003.4,,,19.2
Wheat Ridge,"Wheat Ridge, CO, United States","Wheat Ridge, CO, United States",155,,30,25.5,12/01/2018 04:00:00,,18.5,74.54,,,,,25.5,25.5,9.5,6.4,,,,1004.2,,,18.1
Wheat Ridge,"Wheat Ridge, CO, United States","Wheat Ridge, CO, United States",135,,30,26.6,12/01/2018 05:00:00,,16.9,66.22,,,,,26.6,26.6,10,4.6,,,,1004.1,,,21.2
Wheat Ridge,"Wheat Ridge, CO, United States","Wheat Ridge, CO, United States",130,,30,28,12/01/2018 06:00:00,,25.6,90.45,,,,,28,28,10,1.1,,Mist,,1005,,,
Wheat Ridge,"Wheat Ridge, CO, United States","Wheat Ridge, CO, United States",80,,42.3,26.4,12/01/2018 07:00:00,,21.2,80.46,,,,,26.4,26.4,34.6,0.7,,,,1004.4,,,
Wheat Ridge,"Wheat Ridge, CO, United States","Wheat Ridge, CO, United States",200,,42.3,29.3,12/01/2018 08:00:00,,22.1,74.24,,,,,29.3,29.3,34.6,3.2,,,,1004.4,,,26
Wheat Ridge,"Wheat Ridge, CO, United States","Wheat Ridge, CO, United States",230,,30,32,12/01/2018 09:00:00,,19.4,59.22,,,,,32,32,10,3.5,,,,1003.1,,,28.7
Wheat Ridge,"Wheat Ridge, CO, United States","Wheat Ridge, CO, United States",171,,40.1,36.7,12/01/2018 10:00:00,,25.7,64.2,,,,,36.7,36.7,10,4,,,,1002.6,,,33.5
Wheat Ridge,"Wheat Ridge, CO, United States","Wheat Ridge, CO, United States",109,,15.4,40.2,12/01/2018 11:00:00,,22.7,49.49,,,,,40.2,40.2,34.6,5.6,,,,1002.7,,,36.2
Wheat Ridge,"Wheat Ridge, CO, United States","Wheat Ridge, CO, United States",25,,40.1,40.7,12/01/2018 12:00:00,,22.6,48.03,,,,,40.7,40.7,10,13.9,,,,1002.1,,,33.1
Wheat Ridge,"Wheat Ridge, CO, United States","Wheat Ridge, CO, United States",24,,53.9,43.3,12/01/2018 13:00:00,,21.2,40.92,,,,,43.3,43.3,34.6,12.6,,,,1001.9,,,36.9
Wheat Ridge,"Wheat Ridge, CO, United States","Wheat Ridge, CO, United States",20,,70.2,42.6,12/01/2018 14:00:00,,19.1,38.59,,,,,42.6,42.6,10,13.9,,,,1001.9,,,35.5
Wheat Ridge,"Wheat Ridge, CO, United States","Wheat Ridge, CO, United States",184,,90,41.2,12/01/2018 15:00:00,,16.1,35.76,,,,,41.2,41.2,10,15.6,,,,1002.9,,,33.2
